id	IndexCancer	Stage	Fix	total_individuals	number_last_known_outcome	final_proportion	number_final_outcome	extrapolated_prop_died	extrapolated_cod	extrapolated_outcome
Overall	Bladder	?	Alive	1932	499	0.2138712968245342	413.1993454650001	0	0	0
Overall	Bladder	?	Index	1932	780	0.41944050312743986	810.3590520422138	0.34065934065934067	0.4922977580896438	951.1192686291919
Overall	Bladder	?	NC	1932	546	0.3065469369595476	592.248682205846	0.5604395604395604	0.4264088725425283	823.8219417521647
Overall	Bladder	?	NIndex	1932	107	0.060141263088478336	116.19292028694015	0.09890109890109891	0.08129336936782788	157.05878961864346
Overall	Bladder	I	Alive	10574	4268	0.3470548212100385	3669.757679474947	0	0	0
Overall	Bladder	I	Index	10574	2258	0.2233897739191306	2362.123469420887	0.2018181818181818	0.2934317469269747	3102.747292005831
Overall	Bladder	I	NC	10574	3255	0.3459874575169551	3658.4713757842833	0.6781818181818182	0.5813537271739448	6147.234311137293
Overall	Bladder	I	NIndex	10574	793	0.08356794735387583	883.647475319883	0.12	0.12521452589908044	1324.0183968568765
Overall	Bladder	II	Alive	4905	1281	0.22156151084778558	1086.7592107083883	0	0	0
Overall	Bladder	II	Index	4905	2255	0.4699340655477403	2305.026591511666	0.21025641025641026	0.5165187934695824	2533.5246819683016
Overall	Bladder	II	NC	4905	1108	0.25075254510710554	1229.9412337503527	0.6461538461538462	0.3939153675010593	1932.154877592696
Overall	Bladder	II	NIndex	4905	261	0.057751878497368535	283.2729640295927	0.14358974358974358	0.08956583902935826	439.32044043900225
Overall	Bladder	III	Alive	2073	414	0.16806223619354643	348.39301562922174	0	0	0
Overall	Bladder	III	Index	2073	1110	0.5451153881456061	1130.0241996258414	0.30612244897959184	0.5965630114701611	1236.675122777644
Overall	Bladder	III	NC	2073	455	0.23768625154948628	492.7235994620851	0.4489795918367347	0.31314276575883365	649.1449534180622
Overall	Bladder	III	NIndex	2073	94	0.04913612411136115	101.85918528285167	0.24489795918367346	0.09029422277100518	187.17992380429374
Overall	Bladder	IV	Alive	3499	269	0.062437010964715677	218.46710136554015	0	0	0
Overall	Bladder	IV	Index	3499	2832	0.815803705657949	2854.4971660971637	0.18181818181818182	0.8271558894697155	2894.2184572545348
Overall	Bladder	IV	NC	3499	318	0.09708853597504663	339.71278737668814	0.6666666666666667	0.13871320995152375	485.3575216203816
Overall	Bladder	IV	NIndex	3499	80	0.02467074740228866	86.32294516060803	0.15151515151515152	0.03413090057876073	119.4240211250838
Overall	Breast, All	?	Alive	7781	3595	0.41262518118760017	3210.636534820717	0	0	0
Overall	Breast, All	?	Index	7781	2479	0.3364334679249229	2617.7888139238253	0.3355048859934853	0.47487123229730993	3694.9730585053685
Overall	Breast, All	?	NC	7781	1461	0.2151983632620716	1674.458464542179	0.5667752442996743	0.4490641011338711	3494.167770922651
Overall	Breast, All	?	NIndex	7781	246	0.03574298762540535	278.11618671327903	0.09771986970684039	0.07606466656881905	591.859170571981
Overall	Breast, All	I	Alive	75689	56358	0.7079467176253803	53583.77911034741	0	0	0
Overall	Breast, All	I	Index	75689	3894	0.05687783929580548	4305.026778460221	0.15204918032786885	0.16452055742654978	12452.396471058126
Overall	Breast, All	I	NC	75689	12637	0.19314162263745702	14618.696275806484	0.7127049180327869	0.6976987299942342	52808.1191745336
Overall	Breast, All	I	NIndex	75689	2800	0.04203382044135721	3181.4978353858855	0.13524590163934427	0.13778071257921604	10428.484354408283
Overall	Breast, All	II	Alive	49485	32234	0.6076003937484843	30067.105484643744	0	0	0
Overall	Breast, All	II	Index	49485	7247	0.1575381868040418	7795.777173998009	0.268640350877193	0.3207641697737552	15873.014941254276
Overall	Breast, All	II	NC	49485	8296	0.19536269173750867	9667.522800630617	0.6233552631578947	0.5741135950774355	28410.011252406897
Overall	Breast, All	II	NIndex	49485	1708	0.03949872770996525	1954.5945407276304	0.10800438596491228	0.10512223514880922	5201.973806338824
Overall	Breast, All	III	Alive	17301	7874	0.41431000200988544	7167.977344773028	0	0	0
Overall	Breast, All	III	Index	17301	6474	0.3912662705460581	6769.297746717351	0.4143302180685358	0.5629274240267894	9739.207363087484
Overall	Breast, All	III	NC	17301	2518	0.16593352699303043	2870.8159505064195	0.49065420560747663	0.36921647190442286	6387.81418041842
Overall	Breast, All	III	NIndex	17301	435	0.02849020045102599	492.90895800320067	0.09501557632398754	0.06785610406878768	1173.9784564940958
Overall	Breast, All	IV	Alive	8467	713	0.06401029155582286	541.9751386031521	0	0	0
Overall	Breast, All	IV	Index	8467	6963	0.8356822858689265	7075.7219144522005	0.543859649122807	0.8704949005747249	7370.480323166195
Overall	Breast, All	IV	NC	8467	705	0.08875149057262285	751.4588706783977	0.4122807017543859	0.11514169849476034	974.9047611551358
Overall	Breast, All	IV	NIndex	8467	86	0.011555932002627863	97.84407626625011	0.043859649122807015	0.01436340093051483	121.61491567866906
Overall	Breast, HR+	?	Alive	3930	1916	0.44003157914326974	1729.3241060330502	0	0	0
Overall	Breast, HR+	?	Index	3930	1049	0.28074789826927604	1103.3392401982549	0.2891566265060241	0.4079859452504625	1603.3847648343176
Overall	Breast, HR+	?	NC	3930	838	0.24332688778992687	956.2746690144126	0.6265060240963856	0.5190093229158308	2039.706639059215
Overall	Breast, HR+	?	NIndex	3930	127	0.035893634797527385	141.06198475428263	0.08433734939759036	0.07300473183370676	286.90859610646754
Overall	Breast, HR+	I	Alive	63020	47130	0.7098384896833051	44734.021619841886	0	0	0
Overall	Breast, HR+	I	Index	63020	2846	0.049736174478022914	3134.3737156050042	0.13931104356636273	0.14862451523937495	9366.31695038541
