id	IndexCancer	Stage	Fix	total_individuals	number_last_known_outcome	final_proportion	number_final_outcome	extrapolated_prop_died	extrapolated_cod	extrapolated_outcome
50-54	All Types	?	Alive	22275	11243	0.476434007626367	10612.567519877324	0	0	0
50-54	All Types	?	Index	22275	8802	0.41080618129257446	9150.707688292096	0.48045977011494256	0.6397135550716795	14249.61943922166
50-54	All Types	?	NC	22275	1896	0.09526103239582014	2121.9394966168934	0.44367816091954027	0.3066443966990129	6830.503936470512
50-54	All Types	?	NIndex	22275	334	0.017498778685238376	389.78529521368483	0.07586206896551724	0.0536420482293076	1194.8766243078267
50-54	All Types	I	Alive	39803	33438	0.8211346895260786	32683.624047206507	0	0	0
50-54	All Types	I	Index	39803	3234	0.08785421029925357	3496.86113254119	0.32978723404255317	0.3586539483344497	14275.503105556101
50-54	All Types	I	NC	39803	2400	0.06969711796365005	2774.154386307163	0.5283687943262412	0.5035590638479965	20043.161418341806
50-54	All Types	I	NIndex	39803	731	0.021313982211017785	848.3604339451409	0.14184397163120566	0.13778698781755375	5484.335476102092
50-54	All Types	II	Alive	35521	28109	0.7702556120020999	27360.24959392659	0	0	0
50-54	All Types	II	Index	35521	4591	0.1369006272704162	4862.847181272454	0.36466774716369527	0.4177880060394153	14840.24776252607
50-54	All Types	II	NC	35521	2158	0.07096038650779521	2520.5838891433937	0.4505672609400324	0.4180123478312697	14848.216607314533
50-54	All Types	II	NIndex	35521	663	0.021883374219688712	777.3193356575628	0.1847649918962723	0.16419964612931498	5832.535630159397
50-54	All Types	III	Alive	19977	10174	0.48571283467329757	9703.085298268465	0	0	0
50-54	All Types	III	Index	19977	8304	0.4281904069069679	8553.959758780498	0.5803814713896458	0.7100891365674922	14185.450681208791
50-54	All Types	III	NC	19977	1195	0.06944728768070331	1387.34846599741	0.335149863760218	0.2322338780480483	4639.336181765861
50-54	All Types	III	NIndex	19977	304	0.0166494707390312	332.60647695362627	0.08446866485013624	0.0576769853844596	1152.2131370253494
50-54	All Types	IV	Alive	23019	3939	0.15413577789841193	3548.0514714435444	0	0	0
50-54	All Types	IV	Index	23019	17627	0.7768236942424438	17881.704617766813	0.5693069306930694	0.8645742608677773	19901.634910915367
50-54	All Types	IV	NC	23019	1199	0.056292888838684	1295.806008177667	0.3613861386138614	0.11199542243563484	2578.0226290458786
50-54	All Types	IV	NIndex	23019	254	0.012747639020460262	293.4379026119748	0.06930693069306931	0.023430316696587822	539.3424600387551
55-59	All Types	?	Alive	26983	11690	0.4020541564204817	10848.627302693858	0	0	0
55-59	All Types	?	Index	26983	11678	0.4477280616525273	12081.046287570145	0.434715821812596	0.622507364674027	16797.11622099927
55-59	All Types	?	NC	26983	3003	0.12452086462871105	3359.9464902765103	0.4500768049155146	0.305476114753444	8242.66200439218
55-59	All Types	?	NIndex	26983	612	0.02569691729827993	693.3799194594874	0.1152073732718894	0.07201652057252897	1943.2217746085491
55-59	All Types	I	Alive	44175	34711	0.7618719291188778	33655.692468826426	0	0	0
55-59	All Types	I	Index	44175	4571	0.10918887338678193	4823.418481861092	0.2521459227467811	0.3012917739693316	13309.564115095223
55-59	All Types	I	NC	44175	3695	0.0968988097209497	4280.504919422953	0.5761802575107297	0.535874374030861	23672.250472813284
55-59	All Types	I	NIndex	44175	1198	0.03204038777339057	1415.3841298895284	0.17167381974248927	0.16283385199980738	7193.185412091491
55-59	All Types	II	Alive	51230	39364	0.7402397499005464	37922.48238740499	0	0	0
55-59	All Types	II	Index	51230	6195	0.12948842485337192	6633.692005238244	0.30647709320695105	0.3563549516791318	18256.064174521922
55-59	All Types	II	NC	51230	4182	0.09644279948086182	4940.764617404551	0.5363349131121643	0.4934592214259416	25279.915913650988
55-59	All Types	II	NIndex	51230	1489	0.03382902576521983	1733.060989952212	0.15718799368088468	0.15018582689492657	7694.019911827088
55-59	All Types	III	Alive	24947	11175	0.421809662476891	10522.885649811	0	0	0
55-59	All Types	III	Index	24947	11169	0.4591138243330328	11453.51257563617	0.46193771626297575	0.6539636165152645	16314.430341206302
55-59	All Types	III	NC	24947	2016	0.09189503585273096	2292.5054594180792	0.4013840830449827	0.2612027204455315	6516.224266954674
55-59	All Types	III	NIndex	24947	587	0.027181477337345238	678.0963151347516	0.1366782006920415	0.08483366303920403	2116.345391839023
55-59	All Types	IV	Alive	30480	4530	0.13032454121649073	3972.2920162786377	0	0	0
55-59	All Types	IV	Index	30480	23665	0.7875713915913645	24005.17601570479	0.46801346801346805	0.8485650320933584	25864.262178205565
55-59	All Types	IV	NC	30480	1915	0.06867934562276233	2093.346454581796	0.430976430976431	0.1248461512648863	3805.3106905537343
55-59	All Types	IV	NIndex	30480	370	0.01342472156938253	409.1855134347795	0.10101010101010101	0.02658881664175533	810.4271312407025
60-64	All Types	?	Alive	30501	11235	0.3352188254844345	10224.509396100737	0	0	0
60-64	All Types	?	Index	30501	14190	0.47804123193332193	14580.735615198253	0.37994722955145116	0.6054066959696243	18465.50963376951
60-64	All Types	?	NC	30501	4204	0.15466027427439216	4717.2930256432355	0.5065963060686016	0.3244808929894619	9896.991717071578
60-64	All Types	?	NIndex	30501	872	0.0320796683078514	978.4619630577756	0.11345646437994723	0.0701124110409139	2138.4986491589148
60-64	All Types	I	Alive	46915	33661	0.6854752791447296	32159.07272107499	0	0	0
60-64	All Types	I	Index	46915	5973	0.1340444256931055	6288.694231392045	0.22734254992319508	0.2898821235631823	13599.8198269667
