id	IndexCancer	Stage	Fix	total_individuals	number_last_known_outcome	final_proportion	number_final_outcome	extrapolated_prop_died	extrapolated_cod	extrapolated_outcome
Overall	All Types	?	Alive	204533	55775	0.2370424031581852	48482.99384515309	0	0	0
Overall	All Types	?	Index	204533	102659	0.5128795601752285	104900.79508132002	0.29020855425945563	0.5816712932939525	118970.97463129199
Overall	All Types	?	NC	204533	40184	0.21814861039474828	44618.58972986905	0.612407211028632	0.3633150874083771	74309.92477289759
Overall	All Types	?	NIndex	204533	5915	0.03192942627183795	6530.621343657832	0.09738423471191233	0.05501361929767041	11252.100595810422
Overall	All Types	I	Alive	268928	161443	0.5567636978279064	149729.3477294632	0	0	0
Overall	All Types	I	Index	268928	41687	0.1627261875468965	43761.62816461178	0.16985387859174267	0.2572946610820474	69193.73861547284
Overall	All Types	I	NC	268928	54519	0.2329852343524109	62656.253103925155	0.7052074139452781	0.625619121876239	168246.4992079332
Overall	All Types	I	NIndex	268928	11279	0.047524880272786243	12780.77100199986	0.1249387074629793	0.11708621704171364	31487.762176593966
Overall	All Types	II	Alive	326024	194217	0.5491727583167616	179043.49935746388	0	0	0
Overall	All Types	II	Index	326024	51087	0.16547616552100428	53949.2013878199	0.195852534562212	0.2730330421498631	89015.32453386698
Overall	All Types	II	NC	326024	65638	0.2334569576061031	76112.57114657215	0.6838277649769585	0.6089965375120856	198547.4871458402
Overall	All Types	II	NIndex	326024	15082	0.05189411855613104	16918.728108144067	0.1203197004608295	0.1179704203380513	38461.18832029284
Overall	All Types	III	Alive	152226	48649	0.28798909691604874	43839.42826714244	0	0	0
Overall	All Types	III	Index	152226	77879	0.5227277120325247	79572.7486918631	0.33901322482197355	0.6203598244916022	94434.89464305864
Overall	All Types	III	NC	152226	21634	0.15919608377718872	24233.78304906633	0.5528992878942014	0.3184250503833662	48472.57171965831
Overall	All Types	III	NIndex	152226	4064	0.0300871072742379	4580.039991928139	0.10808748728382503	0.06121512512503158	9318.533637283057
Overall	All Types	IV	Alive	202484	19052	0.07829104924916261	15852.684816167442	0	0	0
Overall	All Types	IV	Index	202484	163365	0.8151374010077829	165052.2815056599	0.4109878499735869	0.8473140710108724	171567.5423545655
Overall	All Types	IV	NC	202484	17389	0.09212643830275839	18654.12973329573	0.5013206550449022	0.13137535839650127	26601.408069557165
Overall	All Types	IV	NIndex	202484	2678	0.014445111440296083	2924.903944876912	0.08769149498151083	0.02131057059262624	4315.049575877331
