id	IndexCancer	Stage	Fix	total_individuals	number_last_known_outcome	final_proportion	number_final_outcome	extrapolated_prop_died	extrapolated_cod	extrapolated_outcome
Overall	Bladder	?	Accident-External	1983	25	0.013834283954420476	27.433385081615803	0.045871559633027525	0.022725570208595704	45.06480572364528
Overall	Bladder	?	Alive	1983	499	0.19383004034101994	384.36496999624256	0	0	0
Overall	Bladder	?	Alzheimer	1983	22	0.015596616659635517	30.92809083605723	0.045871559633027525	0.024487902913810745	48.559511478086705
Overall	Bladder	?	Bladder	1983	0	0	0	0	0	0
Overall	Bladder	?	Brain-Nervous	1983	6	0.005645214993400068	11.194461331912335	0.01834862385321101	0.009201729495070159	18.247029588724125
Overall	Bladder	?	Breast	1983	6	0.003890842827269427	7.7155413264752735	0.01834862385321101	0.007447357328939518	14.768109583287064
Overall	Bladder	?	COPD	1983	58	0.03339032499403367	66.21301446316876	0.045871559633027525	0.042281611248208895	83.84443510519824
Overall	Bladder	?	Cerebrovascular	1983	46	0.024926750790941882	49.42974681843775	0.045871559633027525	0.033818037045117114	67.06116746046723
Overall	Bladder	?	Cervix	1983	0	0	0	0	0	0
Overall	Bladder	?	Chronic Liver	1983	6	0.0035355490164754155	7.010993699670749	0.01834862385321101	0.0070920635181455065	14.06356195648254
Overall	Bladder	?	Colon-Rectum	1983	8	0.00662061723982765	13.12868398657823	0.027522935779816515	0.011955388992332786	23.707536371795914
Overall	Bladder	?	Diabetes	1983	24	0.013725483150531025	27.217633087503025	0.045871559633027525	0.022616769404706253	44.8490537295325
Overall	Bladder	?	Esophagus	1983	6	0.0030766790476715196	6.1010545515326235	0	0.0030766790476715196	6.1010545515326235
Overall	Bladder	?	Heart Disease	1983	173	0.09260978078640378	183.64519529943868	0.09174311926605505	0.11039235329475423	218.90803658349765
Overall	Bladder	?	Index	1983	780	0.40775328668804034	808.574767502384	0.28440366972477066	0.46287926146392677	917.8895754829667
Overall	Bladder	?	Kidney	1983	0	0	0	0	0	0
Overall	Bladder	?	Leukemia	1983	6	0.0034175716889026358	6.777044659093927	0.009174311926605505	0.005195828939737681	10.303328787499822
