id	IndexCancer	Stage	Fix	total_individuals	number_last_known_outcome	final_proportion	number_final_outcome	extrapolated_prop_died	extrapolated_cod	extrapolated_outcome
Men	All Types	?	Alive	96067	22444	0.20340130844111565	19540.153498012656	0	0	0
Men	All Types	?	Index	96067	51929	0.5509960520537301	52932.537732645695	0.3329103214890017	0.6187104470381456	59437.65651561353
Men	All Types	?	NC	96067	18960	0.21408860895286208	20566.8503962746	0.5655668358714044	0.32912564338000744	31618.113182587174
Men	All Types	?	NIndex	96067	2734	0.031514030552292176	3027.4583730670524	0.10152284263959391	0.052163909581847065	5011.230301799302
Men	All Types	I	Alive	91940	43466	0.42504868606116986	39078.976196463955	0	0	0
Men	All Types	I	Index	91940	21054	0.23735945148258555	21822.827969308917	0.16985645933014354	0.3095567163398656	28460.644500287242
Men	All Types	I	NC	91940	22767	0.28084804536367586	25821.169290736358	0.7123870281765019	0.5836472156571195	53660.52500751557
Men	All Types	I	NIndex	91940	4653	0.05674381709256873	5217.02654349077	0.11775651249335459	0.10679606800301483	9818.830492197183
Men	All Types	II	Alive	45509	14661	0.2851967436261951	12979.018605684514	0	0	0
Men	All Types	II	Index	45509	19023	0.42802561939807476	19479.017913186985	0.2622309197651663	0.5028130237932023	22882.51789980484
Men	All Types	II	NC	45509	9867	0.23934402383014708	10892.307180486163	0.6236138290932811	0.4171966571678134	18986.20267105002
Men	All Types	II	NIndex	45509	1958	0.047433613145583024	2158.656300642338	0.1141552511415525	0.07999031903898429	3640.279429145136
Men	All Types	III	Alive	59915	12744	0.18792936523909554	11259.78791830041	0	0	0
Men	All Types	III	Index	59915	36091	0.6106778106454577	36588.7610248226	0.3110236220472441	0.6691282825111606	40090.82104665619
Men	All Types	III	NC	59915	9549	0.17345501575066774	10392.557268701257	0.5913385826771653	0.28458490023457383	17050.90429755449
Men	All Types	III	NIndex	59915	1531	0.027937808364779073	1673.893788175738	0.09763779527559055	0.04628681725426556	2773.274655789321
Men	All Types	IV	Alive	102338	8599	0.06958141904130319	7120.8232618488855	0	0	0
Men	All Types	IV	Index	102338	83605	0.8232616406964199	84250.94978559023	0.3267211201866978	0.8459953598697746	86577.47313835299
Men	All Types	IV	NC	102338	8684	0.09152797337299039	9366.78973904509	0.5659276546091015	0.13090602265540818	13396.660546509163
Men	All Types	IV	NIndex	102338	1450	0.015628966889286434	1599.437213515795	0.1073512252042007	0.023098617474817233	2363.866315137846
Women	All Types	?	Alive	77315	20017	0.2249884388627682	17394.981150674925	0	0	0
Women	All Types	?	Index	77315	41774	0.551461195180955	42636.22230541554	0.3079268292682927	0.6207411717819904	47992.603696324586
Women	All Types	?	NC	77315	13792	0.1982239247366245	15325.682741012124	0.6107723577235773	0.3356406440013844	25950.056390967035
Women	All Types	?	NIndex	77315	1732	0.025326441219652305	1958.113802897418	0.08130081300813008	0.04361818421662533	3372.3399127083876
Women	All Types	I	Alive	69541	38830	0.5159354560153213	35878.66754676146	0	0	0
Women	All Types	I	Index	69541	13600	0.20309544252611883	14123.460168708829	0.17578905313623652	0.29379124781846455	20430.537164543843
Women	All Types	I	NC	69541	14620	0.2404403427202149	16720.461873106462	0.707550938873352	0.6054909590219064	42106.44678134239
Women	All Types	I	NIndex	69541	2491	0.04052875873834499	2818.4104114232487	0.1166600079904115	0.10071779315962898	7004.016054113758
Women	All Types	II	Alive	34025	13123	0.34480963507355	11732.14783337754	0	0	0
Women	All Types	II	Index	34025	13003	0.39136325359726964	13316.1347036471	0.21057046979865773	0.4639699804458108	15786.578584668712
Women	All Types	II	NC	34025	6796	0.22761963216225659	7744.75798432078	0.7063758389261745	0.47118482740716355	16032.06375252874
Women	All Types	II	NIndex	34025	1103	0.036207479166923746	1231.9594786545804	0.08305369127516779	0.06484519214702564	2206.357662802547
Women	All Types	III	Alive	45007	12188	0.24112520915580204	10852.322288475183	0	0	0
Women	All Types	III	Index	45007	25325	0.5722053797079839	25753.24752451723	0.2761714855433699	0.6387972869224975	28750.349492520843
Women	All Types	III	NC	45007	6487	0.16173635088589663	7279.26794432155	0.6420737786640079	0.31655652505971166	14247.259523362443
Women	All Types	III	NIndex	45007	1007	0.024933060250317447	1122.1622426860374	0.08175473579262213	0.04464618801779079	2009.3909841167101
Women	All Types	IV	Alive	69734	5866	0.06917680577590529	4823.975373976979	0	0	0
Women	All Types	IV	Index	69734	57968	0.839048762797587	58510.22642492693	0.38848920863309355	0.8659232053292336	60384.288800428774
Women	All Types	IV	NC	69734	5207	0.08057291261931017	5618.671488594975	0.5323741007194245	0.11740085238490003	8186.831040208619
Women	All Types	IV	NIndex	69734	693	0.011201518807197499	781.1267125011103	0.07913669064748201	0.01667594228586626	1162.8801593625979
