id	Site	Stage	Index	NonIndex	NonCancer	IndexPercent	NonIndexPercent	NonCancerPercent
50-54	All Types	I	14275.503105556101	5484.335476102092	20043.161418341806	35.86539483344497	13.778698781755375	50.35590638479965
55-59	All Types	I	13309.564115095223	7193.185412091491	23672.250472813284	30.12917739693316	16.28338519998074	53.587437403086106
60-64	All Types	I	13599.8198269667	7039.803951775678	26275.376221257626	28.988212356318233	15.005443785091503	56.00634385859027
65-69	All Types	I	12318.115571692739	5668.98972665973	26463.894701647532	27.711672564605387	12.753345766483836	59.53498166891078
70-74	All Types	I	9861.604269163789	4651.412563415606	23066.983167420603	26.241629242053722	12.377361797274098	61.38100896067217
70-84	All Types	I	25075.009503129462	8361.613795558975	60489.37670131157	26.696558464247875	8.902342051784355	64.40109948396777
75-79	All Types	I	8750.566973198442	2666.3810275076994	20780.05199929386	27.178205960798962	8.281457985239927	64.54033605396111
80-84	All Types	I	6789.159725793576	1507.2936796118913	16122.54659459453	27.802775403552875	6.172626559694874	66.02459803675225
50-54	All Types	II	14840.24776252607	5832.535630159397	14848.216607314533	41.778800603941534	16.419964612931498	41.80123478312697
55-59	All Types	II	18256.064174521922	7694.019911827088	25279.915913650988	35.63549516791318	15.018582689492659	49.34592214259416
60-64	All Types	II	19654.825392603158	9522.504795271974	33084.66981212487	31.5679313105958	15.29424816946448	53.13782051993972
65-69	All Types	II	16462.74880756881	9251.883338643514	36991.367853787684	26.253865351910196	14.75438289580505	58.99175175228476
70-74	All Types	II	12981.501829082048	6281.26969831318	31709.22847260477	25.46790753567066	12.32298065273715	62.20911181159219
70-84	All Types	II	30573.23208734285	11161.087783841776	73126.68012881538	26.61759177383346	9.717038667469183	63.665369558697364
75-79	All Types	II	10570.509236467748	3658.9791338317445	25093.511629700508	26.88123804508239	9.304933839818286	63.81382811509933
80-84	All Types	II	7487.961246539708	1576.2126341833136	15074.826119276979	31.020179984836606	6.529734596227324	62.45008541893608
50-54	All Types	III	14185.450681208791	1152.2131370253494	4639.336181765861	71.00891365674921	5.76769853844596	23.22338780480483
55-59	All Types	III	16314.430341206302	2116.345391839023	6516.224266954674	65.39636165152645	8.483366303920404	26.12027204455315
60-64	All Types	III	16435.737200333686	2055.957225104236	8239.305574562077	61.48568029753352	7.69128437059682	30.823035331869654
65-69	All Types	III	15845.856380275367	1860.8231419579963	8621.320477766636	60.18632778895232	7.0678484577559875	32.74582375329169
70-74	All Types	III	13434.516244525736	1033.2839857241934	7122.199769750069	62.225642633282696	4.7859378681065	32.98841949861079
70-84	All Types	III	34616.290229296625	2187.132347018124	17526.577423685256	63.71487250008582	4.025643929722297	32.2594835701919
75-79	All Types	III	11953.098898154783	696.7365923997851	6017.164509445431	64.03331493091972	3.732450808377271	32.23423426070301
80-84	All Types	III	9256.888992069855	373.31428956191087	4436.796718368233	65.80570833916154	2.653830166786883	31.54046149405156
50-54	All Types	IV	19901.634910915367	539.3424600387551	2578.0226290458786	86.45742608677774	2.343031669658782	11.199542243563485
55-59	All Types	IV	25864.262178205565	810.4271312407025	3805.3106905537343	84.85650320933583	2.6588816641755324	12.484615126488627
60-64	All Types	IV	29828.091437892712	1076.3051983788191	4169.60336372847	85.04331253319471	3.0686696652187346	11.888017801586559
65-69	All Types	IV	28985.48369274663	750.0644594988894	4093.451847754476	85.682354467311	2.2172232684941604	12.100422264194853
70-74	All Types	IV	25897.728361948062	536.3989786595566	3988.8726593923834	85.12549177250128	1.763136372677108	13.111371854821627
70-84	All Types	IV	68782.18814341475	1197.3178683741726	10911.493988211074	85.03070569459489	1.4801620308491334	13.489132274555974
75-79	All Types	IV	23879.87095633157	359.44383534930074	3809.6852083191256	85.13626495180424	1.281485383968415	13.582249664227337
80-84	All Types	IV	18605.524472849873	289.9047234677319	3081.570803682395	84.65907299836134	1.319127831222332	14.02179917041632
50-54	All Types	Unknown/missing	14249.61943922166	1194.8766243078267	6830.503936470512	63.97135550716795	5.36420482293076	30.664439669901288
55-59	All Types	Unknown/missing	16797.11622099927	1943.2217746085491	8242.66200439218	62.2507364674027	7.201652057252898	30.547611475344404
60-64	All Types	Unknown/missing	18465.50963376951	2138.4986491589148	9896.991717071578	60.54066959696242	7.011241104091388	32.448089298946186
65-69	All Types	Unknown/missing	18540.569839754222	2086.09296005003	10780.337200195747	59.033240487006786	6.64212742398201	34.324632089011196
70-74	All Types	Unknown/missing	17868.008865154297	1849.8663184437903	11488.124816401913	57.25824798165192	5.927918728589984	36.8138332897581
70-84	All Types	Unknown/missing	55388.83876635802	4012.0803834574185	34148.08085018455	59.20837076436736	4.288747483626141	36.502881752006495
75-79	All Types	Unknown/missing	18610.777395880614	1328.4632193809673	11676.75938473842	58.86506008312441	4.2018700005723915	36.9330699163032
80-84	All Types	Unknown/missing	18717.24029656639	831.468585551793	10941.291117881818	61.388128227505376	2.7270206151255922	35.884851157369035
