id	Site	Stage	Cause	extrapolated_outcome	Status	Percent	Percent_Excluding_Index
Overall	Bladder	I	Lung	603.8340375323875	Cancer	5.725173390844671	8.140623186553777
Overall	Bladder	I	Pancreas	112.62110178870358	Cancer	1.0678022355997305	1.5183078387944953
Overall	Bladder	I	Liver-Bile Duct	102.96151684585114	Cancer	0.9762161453100515	1.3880815907353128
Overall	Bladder	I	Prostate	77.24842442120973	Cancer	0.7324208250802098	1.0414290614319959
Overall	Bladder	I	Colon-Rectum	73.78732140493177	Cancer	0.6996048298561844	0.9947680027402651
Overall	Bladder	I	Lymphoma	60.73498539975895	Cancer	0.575850814447321	0.8188021867743152
Overall	Bladder	I	Other Cancer	58.42281453949942	Cancer	0.5539282690765092	0.7876305227965403
Overall	Bladder	I	Leukemia	54.60636388891861	Cancer	0.5177430917693999	0.7361788246057273
Overall	Bladder	I	Esophagus	52.947571023083306	Cancer	0.5020154643318793	0.7138157135090222
Overall	Bladder	I	Breast	48.97140920195777	Cancer	0.4643160064658933	0.6602108600184498
Overall	Bladder	I	Myeloma	48.57698478104753	Cancer	0.4605763229453639	0.6548934045809816
Overall	Bladder	I	Other Respiratory	43.297330696112006	Cancer	0.41051797379455773	0.5837154454244406
Overall	Bladder	I	Oral-Pharynx	41.03409174288989	Cancer	0.38905936989560913	0.5532034597559888
Overall	Bladder	I	Stomach	37.595713553985796	Cancer	0.3564588371478695	0.5068487671270027
Overall	Bladder	I	Uterus	36.098438009776764	Cancer	0.34226261505429756	0.4866631610593848
Overall	Bladder	I	Brain-Nervous	33.67982762943131	Cancer	0.3193308773056917	0.454056526590847
Overall	Bladder	I	Ovary	32.74251615990354	Cancer	0.3104438812923442	0.4414201082911395
Overall	Bladder	I	Other Digestive	31.155491411489724	Cancer	0.2953967138664049	0.42002454318293836
Overall	Bladder	I	Melanoma	24.9287803306702	Cancer	0.23635896776969945	0.3360787808545404
Overall	Bladder	I	Cervix	15.745440191392207	Cancer	0.14928833024928614	0.2122730544113591
Overall	Bladder	I	Bladder	0	Cancer	0	0
Overall	Bladder	I	Index	3129.459306926691	Cancer	29.671558802756152	0
Overall	Bladder	I	Kidney	0	Cancer	0	0
Overall	Bladder	I	Other Female	0	Cancer	0	0
Overall	Bladder	I	Other Male	0	Cancer	0	0
Overall	Bladder	I	Other Urinary	0	Cancer	0	0
Overall	Bladder	I	Heart Disease	1924.7415159503707	NonCancer	18.24918475348792	25.948513066436483
Overall	Bladder	I	Other Non-Cancer	1506.2296066048489	NonCancer	14.281118864177953	20.306320773021238
Overall	Bladder	I	COPD	693.7598302547661	NonCancer	6.577793024127867	9.352962915358415
Overall	Bladder	I	Cerebrovascular	350.31308710766893	NonCancer	3.3214476828261015	4.722765962508306
Overall	Bladder	I	Alzheimer	276.97968904333806	NonCancer	2.626146667709662	3.734117553301579
Overall	Bladder	I	Diabetes	215.2275980199228	NonCancer	2.0406522994209046	2.9016031987651636
Overall	Bladder	I	Accident-External	189.29273428531033	NonCancer	1.7947542835432855	2.5519608468353505
Overall	Bladder	I	Pneumonia-Influenza	170.05847654503032	NonCancer	1.6123871863565973	2.292653098672385
Overall	Bladder	I	Other Circulatory	169.95788839192258	NonCancer	1.6114334729489197	2.2912970137209174
Overall	Bladder	I	Septicemia	126.85154724662675	NonCancer	1.2027263415817462	1.7101564048726285
