id	Site	Stage	Index	NonIndex	NonCancer	IndexPercent	NonIndexPercent	NonCancerPercent
AAPI	All Types	I	5384.121554896297	1464.968026216222	10221.91041888748	31.539579139454613	8.581618102139428	59.87880275840595
AIAN	All Types	I	391.17254598657644	147.99834861292354	727.8291054005	30.873918388837918	11.681006204650634	57.44507540651144
Black	All Types	I	6209.550023101503	1916.237856704463	11149.212120194035	32.215564322186786	9.941571241008887	57.842864436804334
Hispanic	All Types	I	6069.810389714757	2368.260212294218	13431.929397991025	27.754048421192305	10.82880755507187	61.41714402373582
White	All Types	I	51043.362494332294	24235.572394828447	131822.06511083926	24.646603586816237	11.702296171833282	63.651100241350484
AAPI	All Types	II	6262.267877228136	2244.8035015419327	10447.928621229932	33.037551449370284	11.842804017630877	55.11964453299885
AIAN	All Types	II	452.88250157146217	220.00500052177105	826.1124979067667	30.212308310304348	14.676784557823284	55.110907131872366
Black	All Types	II	10505.944097066165	4528.872948913074	24372.18295402076	26.66009616836137	11.492559567876452	61.84734426376217
Hispanic	All Types	II	9113.84767544478	3219.936168598875	17207.216155956346	30.851520515367728	10.899888861578399	58.24859062305388
White	All Types	II	62207.868514241665	28427.772830036924	143226.35865572141	26.600246518990545	12.155789666571279	61.24396381443818
AAPI	All Types	III	7057.10977539174	897.0753145129232	2992.8149100953356	64.46615305921021	8.194713752744343	27.33913318804546
AIAN	All Types	III	646.0198820755802	25.856042699490164	298.1240752249296	66.59998784284332	2.6655714123185734	30.7344407448381
Black	All Types	III	10341.955301310292	786.5852162297613	4580.459482459945	65.83458718766498	5.0072265340235615	29.158186278311447
Hispanic	All Types	III	8839.114230270288	759.2903061748063	4584.595463554907	62.32189402996748	5.353523980644478	32.32458198938805
White	All Types	III	67076.34421450167	7048.270270826132	36052.38551467219	60.88053242918366	6.397224711896432	32.72224285891991
AAPI	All Types	IV	12054.063617096735	244.7308372737826	1595.2055456294822	86.75733134516149	1.7614138280825005	11.481254826756027
AIAN	All Types	IV	1048.0428306826761	54.10180960865095	122.85535970867289	85.55451679042254	4.416474253767425	10.029008955810033
Black	All Types	IV	19591.512671280543	467.9089989589016	2719.5783297605562	86.00690404003926	2.0541244082659538	11.93897155169479
Hispanic	All Types	IV	15773.74770361804	516.9224289084034	2402.3298674735547	84.38317928432056	2.765326212530912	12.85149450314853
White	All Types	IV	123580.70162764614	3149.812390413478	19333.485981940386	84.60722808333755	2.1564604491274224	13.236311467535044
AAPI	All Types	Unknown/missing	8021.789605292129	665.0325007084398	4271.177893999432	61.90607813931261	5.132215625161598	32.96170623552579
AIAN	All Types	Unknown/missing	774.7668382982105	54.35721154988065	380.87595015190885	64.03031721472814	4.492331533047987	31.477351252223873
Black	All Types	Unknown/missing	11921.222981221068	1122.8429195205788	7435.934099258355	58.2090965879935	5.4826314429715755	36.308271969034934
Hispanic	All Types	Unknown/missing	13559.967666983259	992.5429901038315	7048.489342912911	62.774721850762745	4.594893709105279	32.630384440131984
White	All Types	Unknown/missing	84993.28957042	8022.428283984735	52369.28214559526	58.46083816791279	5.518057766609165	36.02110406547805
