id	Site	Stage	Index	NonIndex	NonCancer	IndexPercent	NonIndexPercent	NonCancerPercent
Men	All Types	I	28460.644500287242	9818.830492197183	53660.52500751557	30.955671633986558	10.679606800301483	58.36472156571195
Women	All Types	I	20430.537164543843	7004.016054113758	42106.44678134239	29.379124781846457	10.071779315962898	60.549095902190636
Men	All Types	II	22882.51789980484	3640.279429145136	18986.20267105002	50.28130237932022	7.9990319038984286	41.71966571678134
Women	All Types	II	15786.578584668712	2206.357662802547	16032.06375252874	46.39699804458108	6.484519214702563	47.11848274071636
Men	All Types	III	40090.82104665619	2773.274655789321	17050.90429755449	66.91282825111607	4.6286817254265555	28.458490023457383
Women	All Types	III	28750.349492520843	2009.3909841167101	14247.259523362443	63.87972869224975	4.464618801779078	31.655652505971165
Men	All Types	IV	86577.47313835299	2363.866315137846	13396.660546509163	84.59953598697746	2.3098617474817233	13.090602265540818
Women	All Types	IV	60384.288800428774	1162.8801593625979	8186.831040208619	86.59232053292337	1.6675942285866265	11.740085238490005
Men	All Types	Unknown/missing	59437.65651561353	5011.230301799302	31618.113182587174	61.87104470381455	5.216390958184705	32.91256433800074
Women	All Types	Unknown/missing	47992.603696324586	3372.3399127083876	25950.056390967035	62.074117178199025	4.361818421662533	33.564064400138435
